id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,icao_code,iata_code,gps_code,local_code,home_link,wikipedia_link,keywords
5455,PHOG,large_airport,Kahului International Airport,20.896263,-156.431837,54,OC,US,US-HI,Kahului,yes,PHOG,OGG,PHOG,OGG,https://airports.hawaii.gov/ogg/,https://en.wikipedia.org/wiki/Kahului_Airport,
41513,SYGO,medium_airport,Eugene F. Correia International Airport,6.805881,-58.107657,10,SA,GY,GY-DE,Ogle,yes,SYEC,OGL,SYEC,,,https://en.wikipedia.org/wiki/Ogle_Airport,SYGO
315194,OGM,small_airport,Ogobsucum Airport,9.1383,-77.93385,13,NA,PA,PA-GY,Ustupu,no,,OGM,,,,https://en.wikipedia.org/wiki/Ustupu-Ogobsucum_Airport,"Ogobsucun, Ogubsucum, Ogubsucun, Ustupo"
5684,ROYN,medium_airport,Yonaguni Airport,24.467298,122.979827,70,AS,JP,JP-47,Yonaguni,yes,ROYN,OGN,ROYN,,,https://en.wikipedia.org/wiki/Yonaguni_Airport,
32098,DIAU,small_airport,Abengourou Airport,6.71556,-3.47028,676,AF,CI,CI-CM,Abengourou,no,DIAU,OGO,DIAU,,,https://en.wikipedia.org/wiki/Abengourou_Airport,
32099,FTTB,small_airport,Bongor Airport,10.288345,15.379561,1076,AF,TD,TD-ME,Bongor,no,FTTB,OGR,FTTB,,,https://en.wikipedia.org/wiki/Bongor_Airport,
20727,KOGS,medium_airport,Ogdensburg International Airport,44.6819,-75.4655,297,NA,US,US-NY,Ogdensburg,yes,KOGS,OGS,KOGS,OGS,https://ogsair.com/,https://en.wikipedia.org/wiki/Ogdensburg_International_Airport,
44789,LTCB,medium_airport,Ordu–Giresun Airport,40.966872,38.085995,11,AS,TR,TR-52,Ordu,yes,LTCB,OGU,LTCB,OGU,http://www.dhmi.gov.tr/havaalanlari.aspx?hv=54,https://en.wikipedia.org/wiki/Ordu%E2%80%93Giresun_Airport,
2085,DAUU,medium_airport,Ain Beida Airport,31.9172,5.41278,492,AF,DZ,DZ-30,Ouargla,yes,DAUU,OGX,DAUU,,,https://en.wikipedia.org/wiki/Ain_Beida_Airport,"Ain el Beida, Sedrata Airfield"
6516,URMO,medium_airport,Vladikavkaz Beslan International Airport,43.205101,44.606602,1673,EU,RU,RU-SE,Beslan,yes,URMO,OGZ,URMO,,,https://en.wikipedia.org/wiki/Beslan_Airport,"Beslan Airport, Аэропорт Беслан, Аэропорт Владикавказ"
5046,NZOH,medium_airport,RNZAF Base Ohakea,-40.2060012817383,175.388000488281,164,OC,NZ,NZ-MWT,,no,NZOH,OHA,NZOH,,http://www.airforce.mil.nz/about/hqbases/boh.htm,https://en.wikipedia.org/wiki/RNZAF_Base_Ohakea,
301200,FMFE,small_airport,Ambohibary Airport,-18.9175,48.2181944444,2960,AF,MG,MG-A,Moramanga,no,FMFE,OHB,FMFE,OMB,,,"Moramanga Aérodrome, Ambatovy Mine"
4572,LWOH,large_airport,Ohrid St. Paul the Apostle Airport,41.18,20.7423,2313,EU,MK,MK-003,Ohrid,yes,LWOH,OHD,LWOH,,https://ohd.airports.com.mk/,https://en.wikipedia.org/wiki/Ohrid_Airport,
301193,ZYMH,medium_airport,Mohe Gulian Airport,52.916871,122.422759,1836,AS,CN,CN-23,Mohe,yes,ZYMH,OHE,ZYMH,,,https://en.wikipedia.org/wiki/Mohe_Gulian_Airport,
35126,UHSH,small_airport,Okha Airport,53.516446,142.881426,123,AS,RU,RU-SAK,Okha,no,UHSH,OHH,UHSH,OXA,,https://en.wikipedia.org/wiki/Okha_Airport,"Oxa Airport, Аэропóрт Охá, Ekhabi"
315376,FYOS,small_airport,Oshakati Airport,-17.797,15.6993,3616,AF,NA,NA-ON,Oshakati,no,FYOS,OHI,FYOS,,,https://en.wikipedia.org/wiki/Oshakati_Airport,
35177,UHOO,medium_airport,Okhotsk Airport,59.410065,143.056503,45,AS,RU,RU-KHA,Okhotsk,yes,UHOO,OHO,UHOO,,,https://en.wikipedia.org/wiki/Okhotsk_Airport,
28765,EDXY,small_airport,Wyk auf Föhr Airport,54.684444,8.528333,26,EU,DE,DE-SH,Wyk auf Föhr,no,EDXY,OHR,EDXY,,,https://de.wikipedia.org/wiki/Flugplatz_Wyk_auf_F%C3%B6hr,
299742,OOSH,large_airport,Suhar International Airport,24.38604,56.62541,20,AS,OM,OM-BA,Suhar,yes,OOSH,OHS,OOSH,,https://www.suharairport.co.om/,https://en.wikipedia.org/wiki/Sohar_Airport,"Majis, Sohar, Sohar Airport"
32100,OPKT,small_airport,Kohat Airport,33.5699996948,71.4400024414,1650,AS,PK,PK-KP,Kohat,no,OPKT,OHT,OPKT,,,https://en.wikipedia.org/wiki/Kohat_Airbase,
194,SDOW,small_airport,Ourilândia do Norte Airport,-6.762992,-51.04993,751,SA,BR,BR-PA,Ourilândia do Norte,no,SDOW,OIA,SDOW,PA0021,,https://en.wikipedia.org/wiki/Ouril%C3%A2ndia_do_Norte_Airport,
20728,KOIC,small_airport,Lt Warren Eaton Airport,42.566600799561,-75.524101257324,1025,NA,US,US-NY,Norwich,no,KOIC,OIC,KOIC,OIC,http://www.co.chenango.ny.us/airport/,https://en.wikipedia.org/wiki/Lt._Warren_Eaton_Airport,
